,date,content,year,month,words
3395,2022-01-02 21:00:00,为什么zlibrary 老崩，我的精神源泉就这样没了,2022,1,zlibrary 老崩 精神 源泉
3396,2022-01-02 21:00:00,大二了，在人大没有好朋友,2022,1,大二 人大 朋友
3397,2022-01-02 21:00:00,请问人大金融本科去四大如何呀？,2022,1,人大 金融 本科 四大
3398,2022-01-02 21:00:00,问题：如何使用辩证唯物主义和历史唯物主义的方法，分析近年的网络厌女和仇男现象？,2022,1,辩证唯物主义 历史唯物主义 方法 分析 近年 网络 厌女 现象
3391,2022-01-02 21:00:00,聊天儿就回个嗯，我还聊个屁啊聊,2022,1,聊天儿 回个 聊个
3421,2022-01-02 21:00:00,求问之前ymc老师的国际法考过哪个法条分析啊,2022,1,求问 ymc 老师 国际法 法条 分析
3419,2022-01-02 21:00:00,求问12.31晚上考程设的uu，做题最后只有一半的分数会挂吗？lz现在越想越emo(´⌒`｡),2022,1,求问 12.31 晚上 考程 uu 一半 分数 lz 越想 emo
3362,2022-01-02 21:00:00,为什么英实一定要学二外...这个元旦假期彻底毁掉了,2022,1,英实 要学 二外 元旦假期 毁掉
3382,2022-01-02 21:00:00,求问概率论c张晓丹老师会捞吗？快挂了😭,2022,1,求问 概率论 张晓丹 老师 会捞
3361,2022-01-02 21:00:00,大一，我昨晚跟舍友说她可以早点睡早点起来学习，因为她开大灯翻书真的很烦，我带上耳塞眼罩睡不舒服还听不太见闹钟，人家不答应，说什么复习不完了，我说你白天一天复习不行吗，人家说白天用来睡觉的，我真的服了，她白天照样六点起来学习，哪里睡觉了，不就是想比别人多学几个小时吗，这都不肯承认，藏着掖着有毛病吧，早日猝死别烦我了谢谢,2022,1,大一 昨晚 舍友 早点 早点 学习 大灯 翻书 很烦 带上 耳塞 眼罩 舒服 不太见 闹钟 答应 复习 白天 复习 不行 白天 睡觉 白天 照样 六点 学习 睡觉 多学 几个 小时 不肯 承认 毛病 早日 猝死 别烦 谢谢
3360,2022-01-02 21:00:00,各位考研很不理想的uu都是怎么计划未来的呢？这几天想这个问题想得头疼。考是肯定考不上了，现在准备省考也来不及毕竟还有毕业论文要写，春招估计也找不到什么好工作（履历不丰富）。思来想去好像只有二战是比较合适的了，但是我觉得二战也不是一定能成功，这样成本太高了。还是说抓住应届生的待遇先找份过得去的工作，以后再考虑考研的事？,2022,1,考研 理想 uu 计划 未来 几天 想得 头疼 考是 肯定 考不上 省考 毕业论文 春招 估计 工作 履历 思来想去 二战 合适 二战 成功 成本 太高 抓住 应届生 待遇 找份 过得去 工作 考研
3359,2022-01-02 21:00:00,有同学更新MIUI13了吗？里面的反诈app能不能卸载，还是成系统必带应用了？😰 😰,2022,1,同学 更新 MIUI13 反诈 app 卸载 系统 必带
3358,2022-01-02 21:00:00,昨天跨年有人对我表白了，但是我不知道我自己对他有什么感觉，好像就是很分不开很喜欢粘着他但是不知道是不是真的喜欢他，然后当时跟他说话有点过分了好像整的都挺不开心的，不知道该怎么办了我现在有点难受,2022,1,昨天 跨年 有人 表白 分不开 喜欢 粘着 喜欢 说话 过分 开心 难受
3357,2022-01-02 21:00:00,几天不上小喇叭了，把这里当成一个树洞倾诉一下吧,2022,1,几天 不上 小喇叭 当成 树洞 倾诉
3356,2022-01-02 21:00:00,这咋证啊，救救孩子😭,2022,1,救救 孩子
3355,2022-01-02 21:00:00,想问一下秦聪老师的财政学考试是书里的图都不用看 只要知道概念就行吗（比如林达尔均衡这么细的东西会考吗5555）,2022,1,秦聪 老师 财政学 考试 书里 不用 概念 就行 达尔 均衡 东西 会考 5555
3354,2022-01-02 21:00:00,人大法院和劳人哪个就业好呀,2022,1,人大 法院 劳人 就业
3353,2022-01-02 21:00:00,呜呜呜，我太爱卫练cp了，情动简直就是为他俩量身打造的。就感觉身边好像没什么人是秦迷，唉，好想让这么宝藏的cp被更多人知道和喜欢啊,2022,1,呜呜 我太爱卫练 cp 情动 他俩 量身 打造 身边 没什么 秦迷 宝藏 cp 喜欢
3352,2022-01-02 21:00:00,有无10号下午去大兴机场的友友，拼车！！！！,2022,1,有无 10 下午 大兴 机场 友友 拼车
3351,2022-01-02 21:00:00,求求了，人大给学理的学生减点负吧，当听说个别课程其他院校大二甚至大三才学，我只能表示无奈，硬课是真的太多了，第一学期最低学分都快三十，这真的合理么,2022,1,求求 人大 学理 学生 减点 听说 课程 院校 大二 大三 才学 只能 无奈 硬课 太多 第一 学期 最低 学分 三十
3350,2022-01-02 21:00:00,wgs的行政法第一次作业，大家多少分呀😶,2022,1,wgs 行政法 第一次 作业
3349,2022-01-02 21:00:00,📣新年收留单身孤独小帅哥📣收留单身孤独小帅哥📣收留单身孤独小帅哥,2022,1,新年 收留 单身 孤独 小帅哥 收留 单身 孤独 小帅哥 收留 单身 孤独 小帅哥
3348,2022-01-02 21:00:00,求问20史院pg有对象吗 想追,2022,1,求问 20 史院 pg 对象
3347,2022-01-02 21:00:00,学科评估目前总结小喇叭和贴吧大家的讨论/预测是：,2022,1,学科 评估 小喇叭 讨论 预测
3346,2022-01-02 21:00:00,我来自欠发达的地区，学校是当地教育质量最好的公立学校，但我来到人大一年后也知道自己跟全国最厉害的那群人差距在哪。今天我爸问问我上学期成绩，自己也明白自己确实很烂，但是我真的尽力了，我真的尽力了可是为什么要这样质问我我感觉真的不知道该怎么办，我也想努力改变，但是我真的发现自己无能为力。现在期末周在拼命复习，然后跟他一聊天我现在躲在厕所里哭。为什么不能理解我一下，为什么就不能接受我平凡一点，我真的尽力了，我真的也想改变，也想做好来，但是我真的……,2022,1,欠发达 地区 学校 教育 质量 公立学校 来到 人大 一年 全国 厉害 那群人 差距 我爸 问问 学期成绩 明白 确实 很烂 尽力 尽力 质问 努力 改变 发现自己 无能为力 期末 周在 拼命 复习 聊天 厕所 理解 接受 平凡 一点 尽力 改变 做好
3363,2022-01-02 21:00:00,就是说，这期末周怎么过得去啊 我要疯了,2022,1,期末 过得去 我要
3364,2022-01-02 21:00:00,坐标品二，希望换宿舍，本人习惯于11点睡觉，早上六七点起床，舍友睡觉比较晚，有些吵，不太习惯，希望能找到习惯于晚睡晚起而舍友都早睡早起或者是舍友们能在11点后保持安静的品二同学换宿舍，本人和舍友没有不良爱好，有意向请加微信，放在楼下,2022,1,坐标 品二 希望 宿舍 习惯于 11 睡觉 早上 六七点 起床 舍友 睡觉 不太 习惯 希望 找到 习惯于 晚睡 晚起 舍友 早睡早起 舍友 11 点后 安静 品二 同学 宿舍 舍友 不良 爱好 意向 请加 微信 放在 楼下
3365,2022-01-02 21:00:00,给单身即地狱开个楼！！！太好看了哈哈哈哈,2022,1,单身 地狱 开个 好看 哈哈哈哈
3366,2022-01-02 21:00:00,概率论田昆老师会挂人吗 瑟瑟发抖,2022,1,概率论 田昆 老师 发抖
3381,2022-01-02 21:00:00,有人能帮我考概率论吗？给多少钱都行,2022,1,有人 概率论 都行
3380,2022-01-02 21:00:00,真的球球了，人大麻烦开个电脑专用区，用电脑的倒是耳罩一戴啥啥都不管了，噼里啪啦一顿敲直接给人瞌睡都能弄醒，更别提看书了....弄个电脑专用区让那群人敲去，纯自习人真的哭死,2022,1,球球 人大 麻烦 开个 电脑 专用 电脑 耳罩 一戴 噼里啪啦 一顿 瞌睡 弄醒 别提 看书 .... 弄个 电脑 专用 那群人 敲去 自习
3379,2022-01-02 21:00:00,.,2022,1,
3378,2022-01-02 21:00:00,辅修能不能拉高或者拉低平均绩点？,2022,1,辅修 拉高 拉低 平均 绩点
3377,2022-01-02 21:00:00,你哪个大学的 人大 北京人民大学？中国人民大学,2022,1,大学 人大 北京 人民大学 中国人民大学
3376,2022-01-02 21:00:00,uu们，海淀医院拔智齿，挂口腔科的普通门诊可以吗？还是要挂口腔科牙槽外科呀？,2022,1,uu 海淀 医院 智齿 口腔科 门诊 口腔科 牙槽 外科
3345,2022-01-02 21:00:00,人大四大养老院是哪几个院呀？,2022,1,人大 四大 养老院 哪几个
3375,2022-01-02 21:00:00,……能理解大家自习怕没位置的心情,2022,1,理解 自习 位置 心情
3373,2022-01-02 21:00:00,请问袁勇老师的区块链理论与应用对文科生来说难嘛？,2022,1,袁勇 老师 区块 理论 文科生 难嘛
3372,2022-01-02 21:00:00,不知道大家有没有看过心动的offer，今天晚上好像，貌似看到了李浩源师兄在人大校园里。,2022,1,看过 心动 offer 晚上 貌似 李浩源 师兄 人大 校园
3371,2022-01-02 21:00:00,真的有人来上学是为了学知识吗,2022,1,有人 上学 知识
3370,2022-01-02 21:00:00,年少不知随堂好,2022,1,年少 不知 随堂
3369,2022-01-02 21:00:00,我知道这是我自己的问题，但是我真的自习的时候余光看到旁边的人一直在动就很心烦，感觉非常晃眼睛，真的希望大家自习的时候不要总前后左右晃，一直大幅度的摸脸摸下巴😭,2022,1,自习 余光 旁边 心烦 眼睛 希望 自习 前后左右 大幅度 摸脸 下巴
3368,2022-01-02 21:00:00,余力老师的大数据与互联网加应用怎么样啊，为啥现在还有200多个名额呀，很雷吗,2022,1,余力 老师 数据 互联网 为啥 200 多个 名额 很雷
3367,2022-01-02 21:00:00,暑假和他在一起，开学见了一面，然后他就能忙于考研，我不敢打扰他，三个月只联系了十次，考完研我问他我们还算男女朋友吗，他说不算。今天他发了朋友圈，我看着好难受，我应该把他删了吗？,2022,1,暑假 开学 忙于 考研 打扰 三个 十次 完研 男女朋友 不算 他发 朋友圈 看着 难受
3374,2022-01-02 21:00:00,好难受，概率论还有好多没复习，痛经又好难受，肚子好难受，完全看不进去，昏昏沉沉过了一天，还有好多没复习。。。,2022,1,难受 概率论 好多 复习 痛经 难受 肚子 难受 昏昏沉沉 好多 复习
1258,2022-01-04 21:00:00,很想知道这次概率论C的出题老师是谁😅 想亲切问候一下ta并且向ta致敬🚬 🚬,2022,1,很想 概率论 出题 老师 亲切 问候 ta ta 致敬
1259,2022-01-04 21:00:00,ics1的作业没写完怎么办，实在是不会了...写代码什么的完全看不懂...,2022,1,ics1 作业 没写 实在 代码 看不懂
1260,2022-01-04 21:00:00,tope会有不及格的情况吗……,2022,1,tope 不及格 情况
1257,2022-01-04 21:00:00,期末关注嘉然今天吃什么，科科满绩！,2022,1,期末 关注 嘉然 科科 满绩
1253,2022-01-04 21:00:00,知五四楼不知道哪个宿舍，你们明天没考试别人有好吗！体谅一下还有一堆考试摞着等复习的同学可以吗！本来心情就很焦虑很暴躁了还要被一阵阵的爆笑声穿透几层墙板传进耳朵，真的很难不让人心烦。而且要嗨元旦那晚不够嗨嘛？这都过了三天了来个延时狂欢？那您欢乐了，别人真的只想捶人。。,2022,1,五四 宿舍 明天 考试 体谅 一堆 考试 复习 同学 本来 心情 焦虑 暴躁 一阵阵 笑声 穿透 几层 墙板 传进 耳朵 很难 不让 心烦 元旦 那晚 三天 延时 狂欢 欢乐 只想
1255,2022-01-04 21:00:00,果然没有对比就没有伤害。全世界最好的张志伟yyds。反观隔壁某位老师，感觉就完全在故意折腾学生,2022,1,伤害 全世界 张志伟 yyds 反观 隔壁 某位 老师 折腾 学生
1261,2022-01-04 21:00:00,早上去校医院做核酸 最快什么时候出电子报告呢,2022,1,早上 校医院 核酸 最快 电子 报告
1254,2022-01-04 21:00:00,概率论1205考场 某女生收卷铃响后抄别人的答案  缺这几分是吧 无语了,2022,1,概率论 1205 考场 女生 收卷 铃响后 答案 几分 无语
1256,2022-01-04 21:00:00,yysy人大自己编的教材很多都很拉,2022,1,yysy 人大 教材
1262,2022-01-04 21:00:00,家人们，这学期的成绩什么时候出？孩子紧张..,2022,1,学期 成绩 孩子 紧张 ..
1191,2022-01-04 21:00:00,铁子们，向死而生！祝考试顺利！,2022,1,铁子 而生 考试 顺利
1264,2022-01-04 21:00:00,数学大四要是必修挂了咋办啊友友们,2022,1,数学 大四 必修 咋办 友友
1265,2022-01-04 21:00:00,和前女友分手之后，一直在欺骗自己，试图让自己忘记过去。本以为全都删了不联系了就能不再痛苦不再回忆。刚好那时有个女生追我，毫不犹豫就答应了，以为这样就可以抚平一切伤疤。但是我越来越发现，可能前女友才是最懂我的那个人，我也始终无法走出有关前女友的记忆，总是情不自主地想起她，会按照她喜欢的风格穿衣服，会很喜欢喝她曾经送的那种口味的奶茶，收藏的歌单全是她喜欢听的。并且我也越来越发现其实自己并不喜欢现在的女朋友，当时只是不想继续沉浸在回忆的痛苦中而欠考虑的答应了。但是她又很喜欢和我在一起。这几天越发地想念前女友，也愈发得对现在的女朋友感到愧疚和自责。现在就是感觉非常的痛苦，既无法抑制地想念前女友；又觉得很对不起现在的这个女孩，不想伤害无辜的她，想要让她可以幸福。我实在是不知道该怎样处理这样的关系，真的是为情所困。剪不断，理还乱！感觉自己真的非常失败，明知道在错误的道路上越走越远，但不知道怎么回头。,2022,1,前女友 分手 欺骗 试图 忘记 痛苦 回忆 有个 女生 毫不犹豫 答应 抚平 伤疤 越来越 发现 前女友 始终 走出 前女友 记忆 情不 自主 想起 喜欢 风格 穿衣服 喜欢 那种 口味 奶茶 收藏 歌单 全是 喜欢 越来越 发现 喜欢 女朋友 不想 沉浸 回忆 痛苦 欠考虑 答应 喜欢 几天 越发 想念 前女友 愈发 女朋友 感到 愧疚 自责 痛苦 抑制 想念 前女友 对不起 女孩 不想 伤害 无辜 想要 幸福 实在 关系 为情所困 失败 错误 道路 越走越远 回头
1266,2022-01-04 21:00:00,问一下，程设一曹巍老师会捞人吗？,2022,1,程设 曹巍 老师 会捞
1267,2022-01-04 21:00:00,体育3.7算拉吗 我真的体测不差啊 裂开了,2022,1,体育 3.7 算拉 体测 不差 裂开
1268,2022-01-04 21:00:00,产组！！我恨！好好复习的期末考试成绩比没复习的期中都低，焯！！这让我觉得特别挫败，努力完全没有价值。,2022,1,产组 好好 复习 期末考试 成绩 复习 期中 特别 挫败 努力 价值
1269,2022-01-04 21:00:00,21级有的实验班挂科强退是真的吗……,2022,1,21 实验班 挂科强
1252,2022-01-04 21:00:00,怎么在一晚上复习完政治经济学原理，期末只考论述题。救救孩子！😭,2022,1,晚上 复习 政治经济学 原理 期末 只考 论述题 救救 孩子
1270,2022-01-04 21:00:00,找一个旅伴，目前旅程规划：9日上午故宫博物院，下午地坛公园，10日上午景山公园。有感兴趣的uu可以加QQ3159378301,2022,1,旅伴 旅程 规划 上午 故宫博物院 下午 地坛公园 10 上午 景山公园 感兴趣 uu QQ3159378301
1271,2022-01-04 21:00:00,我真的很好奇绩点真的是严格拿成绩加总折算给吗……还是按比例给？还是怎么给,2022,1,好奇 绩点 成绩 加总 折算 比例
1263,2022-01-04 21:00:00,品园外卖柜在哪啊SOS,2022,1,品园 外卖 SOS
1251,2022-01-04 21:00:00,恨早八考试，不想早上八点钟考试😭😭😭,2022,1,考试 不想 早上 八点钟 考试
1238,2022-01-04 21:00:00,想问问考研的师兄师姐们，选择在什么时间实习和写毕业论文呢！感谢子,2022,1,问问 考研 师兄 师姐 选择 时间 实习 毕业论文 感谢
1249,2022-01-04 21:00:00,长久以来用理性压制自己，让自己规矩、乖顺、符合实际。可越是如此，越渴望一种彻底的放纵，想在舞池里蹦到死去。,2022,1,长久以来 理性 压制 规矩 乖顺 符合实际 渴望 一种 放纵 舞池 死去
1218,2022-01-04 21:00:00,回望上大学这几学期，才发现上了大学一个学期都不努力只靠老师捞的人和最后因为优秀率卡绩的人拿了一样的分数，甚至还会高。,2022,1,回望 大学 学期 发现 大学 学期 努力 只靠 老师 优秀率 卡绩 分数 还会
1217,2022-01-04 21:00:00,问下有深水证的话 游泳课能给多少分呀？,2022,1,问下 深水 游泳 课能
1216,2022-01-04 21:00:00,啊啊啊忘不掉刚开学夏天那会儿，在北区食堂碰到坐我斜对面，吃阳春面和桂花糕的小哥哥，带着帽子运动风我可太喜欢了，后悔没要微信,2022,1,忘不掉 开学 夏天 北区 食堂 碰到 斜对面 阳春面 桂花 哥哥 帽子 运动 喜欢 后悔 没要 微信
1215,2022-01-04 21:00:00,想认识优秀的研究生哥哥,2022,1,优秀 研究生 哥哥
1250,2022-01-04 21:00:00,求问英a会不会挂科啊，感觉自己差到老师捞都捞不起来了，平常小测和期中都很糟糕😰,2022,1,问英 挂科 差到 老师 平常 小测 期中 糟糕
1213,2022-01-04 21:00:00,两个晚上能背完国际法吗😭😭😭,2022,1,两个 晚上 国际法
1212,2022-01-04 21:00:00,肖刚 郭锐老师的财富管理与幸福这节课怎么样呀,2022,1,肖刚 郭锐 老师 财富 管理 幸福 这节
1211,2022-01-04 21:00:00,请问刘启升老师英语会调分吗,2022,1,刘启升 老师 英语 调分
1210,2022-01-04 21:00:00,早上6：40大兴机场的飞机乘地铁去来得及吗,2022,1,早上 40 大兴 机场 飞机 地铁
1209,2022-01-04 21:00:00,明天英语好怕挂科😢 希望能超常发挥，daddy和狐狸狗保佑我呜呜,2022,1,明天 英语 好怕 挂科 希望 超常发挥 daddy 狐狸狗 保佑 呜呜
1208,2022-01-04 21:00:00,孙怡帆老师会调分吗求问😭,2022,1,孙怡帆 老师 调分
1207,2022-01-04 21:00:00,我觉得今年概率论也太难了吧，比往年难一倍😭😭😭😭😭龙永红会调分吗？？？救,2022,1,概率论 太难 往年 一倍 龙永红会 调分
1219,2022-01-04 21:00:00,作业平均都上7了，平时也没有缺勤，zxd老师的平时分会给满吗？还有那个什么奖优加分制，老师会都给吗,2022,1,作业 平均 平时 缺勤 zxd 老师 平时 分会 优加 分制 老师
1206,2022-01-04 21:00:00,有无学过大一量化推理的师兄师姐，想知道量化推理的期末考试会怎么考啊？难不难,2022,1,有无 学过 量化 推理 师兄 师姐 量化 推理 期末考试 不难
1204,2022-01-04 21:00:00,我认真问一句 如果劳人院不考研究生的话 真的找不到工作吗 我真的一整个焦虑住啊啊啊啊啊啊,2022,1,一句 劳人院 不考 研究生 工作 焦虑
1203,2022-01-04 21:00:00,急问请问人大会按照校历开学吗？谢谢各位好看的美女帅哥，阿巴阿巴,2022,1,急问 大会 校历 开学 谢谢 好看 美女 帅哥 阿巴 阿巴
1202,2022-01-04 21:00:00,我错了,2022,1,我错
1201,2022-01-04 21:00:00,孙怡帆,2022,1,孙怡帆
1200,2022-01-04 21:00:00,呜呜呜想问下王著定老师会捞学生吗，孩子读写期末试卷光做阅读去了，快速阅读和选词填空都是最后几分钟乱写的，翻译和写作也是快快赶完的（也不知道怎么了，今天状态不对，写卷子写的很慢），咋办求问问😭😭,2022,1,呜呜 呜想 问下 王著定 老师 会捞 学生 孩子 读写 期末试卷 阅读 快速 阅读 选词 填空 几分钟 乱写 翻译 写作 快快 赶完 状态 卷子 很慢 咋办 问问
1199,2022-01-04 21:00:00,想问问有友友知道这题EY是怎么算的吗？,2022,1,问问 友友 这题 EY
1198,2022-01-04 21:00:00,大二了一次恋爱都没谈正常吗？以前有追过我的男生，但是我不喜欢他们就没有在一起（或者说是因为潜意识里觉得不能早恋要好好学习之类的），但是现在上了大学之后认识的男生更少了，可能有时候会突然有很强烈的想要谈恋爱的欲望，但没有信心能够和他永远在一起，因为我希望能找到一个双向奔赴的人，以后能结婚度过一生。可是现在好像大部分人是为了谈恋爱而谈恋爱，有时候认识了一个有好感的男生，但当他对我表现好感的时候我真的不知道是不是真的喜欢，所以会更加抵触和小心翼翼，孩子该怎么办啊😖,2022,1,大二 恋爱 没谈 追过 男生 喜欢 或者说 是因为 潜意识 早恋 好好学习 大学 男生 更少 有时候 想要 谈恋爱 欲望 信心 永远 希望 找到 双向 奔赴 结婚 度过 一生 大部分 谈恋爱 谈恋爱 有时候 好感 男生 表现 好感 喜欢 抵触 小心翼翼 孩子
1197,2022-01-04 21:00:00,pyq如此安静。只有我一个人觉得孙老师班这次概率论期末考试题好难吗？[大哭][大哭][大哭],2022,1,pyq 安静 老师 概率论 期末考试 题好 大哭 大哭 大哭
1196,2022-01-04 21:00:00,英语考试有人作弊,2022,1,英语考试 有人 作弊
1195,2022-01-04 21:00:00,yue了，考试周破防又回知乎看情感话题了，最近天天看婚恋相关的东西。我很喜欢一个北京本地的男孩子，感觉他很自律，很理性，很上进，从外表到性格都是我的理想型。我自己家是一个还算比较悠闲的小县城出身的女孩子吧。那天和我妈妈聊天，旁敲侧击问一些关于谈恋爱的事情（）她希望我能够奔着结婚去。我连恋爱都谈不到，也有主动在接触理想型的男生，也拿不准他对我的态度。其实我就是喜欢他，想和他谈恋爱而已，以后的事情以后再说。又觉得背景差距好大，虽然沟通上我觉得还挺契合的😭😭,2022,1,yue 考试 破防 知乎 情感话题 天天 婚恋 相关 东西 喜欢 北京 男孩子 自律 理性 外表 性格 理想 悠闲 县城 出身 女孩子 那天 妈妈 聊天 旁敲侧击 谈恋爱 事情 希望 结婚 恋爱 谈不到 主动 接触 理想 男生 拿不准 态度 喜欢 谈恋爱 事情 背景 差距 好大 沟通 契合
1194,2022-01-04 21:00:00,概率论考完了…有大佬share一下答案嘛😿 😿,2022,1,概率论 考完 大佬 share 答案
1193,2022-01-04 21:00:00,我想知道人大的本科绩点是怎样的。,2022,1,人大 本科 绩点
1205,2022-01-04 21:00:00,大家觉得期末周和高三哪个累😭现在看来我高三就是彻底的躺，但现在稍微躺躺都有挂科的风险😭,2022,1,期末 高三 高三 稍微 躺躺 挂科 风险
1220,2022-01-04 21:00:00,我一定可以的，我一定可以的，我一定可以的...好不容易谈了恋爱，现在就倒下，算什么呢,2022,1,好不容易 恋爱 倒下
1214,2022-01-04 21:00:00,试卷上面诚信考试的那个地方忘签字了怎么办😭 😭 😭,2022,1,试卷 诚信 考试 地方 签字
1222,2022-01-04 21:00:00,公共艺术3.0什么鬼啊😭,2022,1,公共 艺术 3.0
